X,Y,OBJECTID,EoICode,StationNam,Longitude,Latitude,Altitude,StationTyp,StationAre,avg15
5.78555467160757,49.065837308169,87,FR30033,Jonville en Woevre,5.785555,49.065837,225,background,rural-regional,12.595133
5.82083151281494,46.0722194489242,88,FR33302,St Germain/Rhône,5.820832,46.072219,477,background,rural-regional,8.89671
2.61008200746779,46.8148188312689,89,FR34038,Verneuil,2.610082,46.814819,180,background,rural-regional,11.602657
5.27896773343405,44.5694309837226,90,FR36021,Drôme Rurale Sud-SND,5.278968,44.569431,617,background,rural,6.146076
9.19003485202627,42.2360870113135,91,FR41024,Venaco,9.190035,42.236087,655,background,rural-regional,7.685495
-1.32528299984744,51.5710780006895,92,GB0036R,Harwell,-1.325283,51.571078,126,background,rural,7.725895
-3.24289999916,55.7921600008151,93,GB0048R,Auchencorth Moss,-3.2429,55.79216,260,background,rural,3.176025
0.634889000087571,51.4561699997155,94,GB0617A,Rochester Stoke,0.634889,51.45617,14,background,rural,8.73313
15.6606388897113,46.1690555563272,95,HR0012A,"DESINIC - RH0112 - HR0012A; Državna mreža za trajno pracenje kvalitete zraka",15.660639,46.169056,0,background,rural-near_city,14.282799
15.6097777776127,44.8993333333883,96,HR0013A,"PLITVICKA JEZERA - RH0113 - HR0013A; Državna mreža za trajno pracenje kvalitete zraka",15.609778,44.899333,0,background,rural-regional,9.171703
-9.01267199975931,53.7038890008163,97,IE0145A,Mayo Claremorris,-9.012672,53.703889,45,background,rural-remote,5.735632
12.2663890004293,41.8894440009419,98,IT0952A,CASTEL DI GUIDO,12.266389,41.889444,61,background,rural,14.676796
12.9619440002612,42.5725000012128,99,IT0989A,LEONESSA,12.961944,42.5725,948,background,rural,9.897507
13.6744439994508,41.6700000007231,100,IT0992A,FONTECHIARI,13.674444,41.67,388,background,rural,14.543353
11.9611109996243,44.8397220009955,101,IT1179A,GHERARDI,11.961111,44.839722,-2,background,rural,20.559557
11.6394440000285,44.6622220005589,102,IT1451A,SAN PIETRO CAPOFIUME,11.639444,44.662222,11,background,rural,18.643258
9.55638899907976,45.4975000008729,103,IT1464A,CASIRATE D'ADDA,9.556389,45.4975,115,background,rural,26.64348
11.0069400000708,43.9161100011695,104,IT1553A,PT-MONTALE,11.00694,43.91611,48,background,rural,23.441667
12.5102780005184,45.8369440013824,105,IT1596A,MANSUE',12.510278,45.836944,14,background,rural,25.488571
18.1161099995065,40.4588900007458,106,IT1665A,LECCE - S. M. Cerrate,18.11611,40.45889,10,background,rural,17.683505
12.9522199996186,43.4680600009601,107,IT1773A,Genga -Parco Gola della Rossa,12.95222,43.46806,550,background,rural-regional,11.594837
13.6747199996353,43.3355600009819,108,IT1796A,Civitanova IPPODROMO S. MARONE,13.67472,43.33556,110,background,rural,12.557535
9.4969439993511,45.9130560013994,109,IT1812A,MOGGIO,9.496944,45.913056,1192,background,rural,12.047041
11.0708299994709,44.9969400007466,110,IT1865A,SCHIVENOGLIA,11.07083,44.99694,16,background,rural,26.951496
12.4680600001798,43.0669400006938,111,IT1902A,BRUFA,12.46806,43.06694,209,background,rural,13.312321
9.0524299996249,44.763350000746,112,IT1904A,Dernice - Costa,9.05243,44.76335,620,background,rural,11.011142
10.2888889999235,44.6575000008846,113,IT1911A,BADIA,10.288889,44.6575,202,background,rural,14.707042
10.663888999497,44.8730560011496,114,IT1914A,SAN ROCCO,10.663889,44.873056,22,background,rural,23.017192
12.627499999173,43.9327780007448,115,IT1915A,SAN CLEMENTE,12.6275,43.932778,165,background,rural,15.268362
11.9422220001776,44.7416670009116,116,IT1919A,OSTELLATO,11.942222,44.741667,0,background,rural,19.083333
11.1779499998862,44.9278400007738,117,IT1921A,GAVELLO,11.17795,44.92784,4,background,rural,20.044818
10.0191669998853,44.989444000688,118,IT1924A,BESENZONE,10.019167,44.989444,48,background,rural,26.727528
11.9813809998185,44.5264850008142,119,IT1927A,BALLIRANA,11.981381,44.526485,1,background,rural,18.326284
8.31031000059065,44.8080100011197,120,IT1948A,Vinchio - San Michele,8.31031,44.80801,258,background,rural,20.749296
8.7730559998125,40.2563890004544,121,IT1996A,CENMA1,8.773056,40.256389,532,background,rural-near_city,7.149379
11.8650000003396,42.7447200010803,122,IT2023A,ACQUAPENDENTE,11.865,42.74472,420,background,rural,10.436975
10.9261109993641,44.15000000121,123,IT2097A,CASTELLUCCIO,10.926111,44.15,811,background,rural,6.641834
12.5661099995305,42.8047200012285,124,IT2099A,M Martani,12.56611,42.80472,1038,background,rural,8.455446
7.42621999983091,44.7197600008816,125,IT2119A,Revello - Staffarda,7.42622,44.71976,268,background,rural,25.84375
15.3866699999628,41.6308300008734,126,IT2141A,Posta del Principe,15.38667,41.63083,150,background,rural,13.391694
15.4408299997709,41.546660001133,127,IT2142A,Azienda Russo,15.44083,41.54666,150,background,rural,13.131818
26.0041694600971,55.4633331302268,128,LT00051,Aukstaitija,26.004169,55.463333,180,background,rural,7.775623
6.30533000014774,49.7222600000025,129,LU0105A,Beidweiler,6.30533,49.72226,319,background,rural-regional,11.022904
14.1971544132817,36.067040741915,130,MT00007,Gharb Station,14.197154,36.067041,114,background,rural-regional,9.19006
5.14890241965277,51.5194435100487,131,NL00230,Biest Houtakker-Biestsestraat,5.148902,51.519444,15,background,rural,12.270036
4.51028633011264,52.2980537402937,132,NL00444,De Zilk-Vogelaarsdreef,4.510286,52.298054,4,background,rural,9.512012
5.05084180940195,52.8047218304194,133,NL00538,Wieringerwerf-Medemblikkerweg,5.050842,52.804722,-4,background,rural,8.977558
4.77358899967326,52.3335610004185,134,NL00561,Badhoevedorp-Sloterweg,4.773589,52.333561,1,background,rural,12.989084
4.73000001929415,52.4000015298986,135,NL00703,Amsterdam-Spaarnwoude,4.73,52.400002,1,background,rural,12.013362
8.25190000020648,58.3884600003205,136,NO0002R,Nye Birkenes,8.2519,58.38846,200,background,rural-regional,2.707727
